Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
droppedcalls,"(0.3, 1.3]",-0.045267712,0.27803704,-0.9177357,0.044467103,17
droppedcalls,"(1.3, 2.0]",0.012201826,0.28971887,0.2504468,0.044467103,17
droppedcalls,"(15.0, 221.7]",0.08730406,0.30541402,1.8199623,0.044467103,17
droppedcalls,"(2.0, 3.0]",0.019761698,0.29127702,0.40626228,0.044467103,17
droppedcalls,"(3.0, 4.3]",0.011245076,0.28952202,0.23076236,0.044467103,17
droppedcalls,"(4.3, 6.3]",0.019206123,0.29116234,0.39479434,0.044467103,17
droppedcalls,"(6.3, 9.3]",0.03513032,0.29445976,0.7245362,0.044467103,17
droppedcalls,"(9.3, 15.0]",0.05460171,0.29852116,1.1306763,0.044467103,17
service_tenure,"(10.0, 12.0]",0.10440956,0.30905476,2.1840363,0.04308723,18
service_tenure,"(12.0, 14.0]",0.046692748,0.2968676,0.96532106,0.04308723,18
service_tenure,"(14.0, 16.0]",0.009542336,0.28917187,0.19574761,0.04308723,18
service_tenure,"(16.0, 19.0]",0.008973359,0.28905496,0.18405616,0.04308723,18
service_tenure,"(19.0, 23.0]",0.005706007,0.28838396,0.116956234,0.04308723,18
service_tenure,"(23.0, 26.0]",-0.0018082068,0.28684437,-0.037002563,0.04308723,18
service_tenure,"(26.0, 33.0]",-0.012180341,0.28472728,-0.2487123,0.04308723,18
service_tenure,"(33.0, 61.0]",-0.047638677,0.2775614,-0.9653002,0.04308723,18
service_tenure,"(5.999, 8.0]",-0.07802082,0.27151048,-1.5703917,0.04308723,18
service_tenure,"(8.0, 10.0]",-0.07482366,0.2721433,-1.5071094,0.04308723,18
receivedcalls,"(-0.001, 3.7]",-0.0614357,0.27480328,-1.2411118,0.037147723,19
receivedcalls,"(125.2, 190.6]",0.03716168,0.29488197,0.76675713,0.037147723,19
receivedcalls,"(14.5, 30.2]",-0.0065139085,0.2858827,-0.1331687,0.037147723,19
receivedcalls,"(190.6, 308.7]",0.07130584,0.3020308,1.4816403,0.037147723,19
receivedcalls,"(3.7, 14.5]",-0.014103713,0.28433576,-0.2878636,0.037147723,19
receivedcalls,"(30.2, 52.8]",-0.0068400027,0.28581616,-0.13982356,0.037147723,19
receivedcalls,"(308.7, 2692.4]",0.026017275,0.29257005,0.5355656,0.037147723,19
receivedcalls,"(52.8, 83.1]",0.0008883016,0.28739628,0.018188357,0.037147723,19
receivedcalls,"(83.1, 125.2]",0.01318928,0.2899221,0.270769,0.037147723,19
percchangeminutes,"(-114.0, -59.0]",0.032944877,0.29400593,0.6791532,0.17417237,2
percchangeminutes,"(-229.0, -114.0]",0.23802464,0.3382893,5.107489,0.17417237,2
percchangeminutes,"(-26.0, -5.0]",-0.12325202,0.2626571,-2.4557292,0.17417237,2
percchangeminutes,"(-3875.001, -229.0]",0.49782667,0.3986424,11.142799,0.17417237,2
percchangeminutes,"(-5.0, 10.0]",-0.18439072,0.25098938,-3.622502,0.17417237,2
percchangeminutes,"(-59.0, -26.0]",-0.07442563,0.27222213,-1.4992267,0.17417237,2
percchangeminutes,"(10.0, 41.7]",-0.20097773,0.24788404,-3.9330363,0.17417237,2
percchangeminutes,"(207.0, 5192.0]",-0.04157418,0.2787791,-0.8435309,0.17417237,2
percchangeminutes,"(41.7, 95.0]",-0.16963604,0.2537734,-3.3441007,0.17417237,2
percchangeminutes,"(95.0, 207.0]",-0.13023685,0.26130658,-2.5907815,0.17417237,2
blockedcalls,"(-0.001, 0.3]",-0.040260907,0.2790432,-0.8171201,0.036415707,20
blockedcalls,"(0.3, 0.7]",-0.021021912,0.28293008,-0.42843223,0.036415707,20
blockedcalls,"(0.7, 1.0]",-0.019899951,0.28315774,-0.40566623,0.036415707,20
blockedcalls,"(1.0, 1.7]",0.02021791,0.2913712,0.4156798,0.036415707,20
blockedcalls,"(1.7, 2.7]",0.024714744,0.29230055,0.5086154,0.036415707,20
blockedcalls,"(10.0, 384.3]",0.07307091,0.30240306,1.5188664,0.036415707,20
blockedcalls,"(2.7, 4.7]",0.02813705,0.29300898,0.5794585,0.036415707,20
blockedcalls,"(4.7, 10.0]",0.03864045,0.29518956,0.7975161,0.036415707,20
madecalltoretentionteam,no,-0.019158557,0.28330827,-0.39061308,0.034223028,21
madecalltoretentionteam,yes,0.45774657,0.38907427,10.1859865,0.034223028,21
prizmcode,other,-0.012586612,0.28464457,-0.25698245,0.03399372,22
prizmcode,rural,0.11641065,0.3116233,2.4408908,0.03399372,22
prizmcode,suburban,-0.03460271,0.28018293,-0.70314705,0.03399372,22
prizmcode,town,0.06736487,0.30120066,1.398626,0.03399372,22
respondstomailoffers,no,0.025212158,0.29240343,0.51890314,0.031820696,23
respondstomailoffers,yes,-0.04262569,0.27856773,-0.8646667,0.031820696,23
monthlyrevenue,"(-6.171, 25.311]",0.04818302,0.29717878,0.99643767,0.031229472,24
monthlyrevenue,"(103.659, 1223.38]",0.008449627,0.28894734,0.17329454,0.031229472,24
monthlyrevenue,"(25.311, 30.98]",-0.02135449,0.2828626,-0.43517947,0.031229472,24
monthlyrevenue,"(30.98, 35.24]",-0.018327381,0.28347704,-0.37373602,0.031229472,24
monthlyrevenue,"(35.24, 40.17]",0.0012114131,0.28746247,0.024807453,0.031229472,24
monthlyrevenue,"(40.17, 48.3]",-0.014320681,0.28429157,-0.2922833,0.031229472,24
monthlyrevenue,"(48.3, 54.31]",-0.0029034938,0.28662035,-0.05940497,0.031229472,24
monthlyrevenue,"(54.31, 63.55]",0.019949809,0.29131585,0.41014552,0.031229472,24
monthlyrevenue,"(63.55, 79.04]",0.020656526,0.29146177,0.42473674,0.031229472,24
monthlyrevenue,"(79.04, 103.659]",-0.012042917,0.2847553,-0.24591088,0.031229472,24
childreninhh,no,-0.02031494,0.2830735,-0.41408837,0.030652078,25
childreninhh,yes,0.061446708,0.2999565,1.2742102,0.030652078,25
handsetwebcapable,no,0.14190584,0.3171185,2.9904099,0.029871097,26
handsetwebcapable,yes,-0.0175689,0.28363115,-0.35832524,0.029871097,26
handsets,"(-0.001, 1.0]",-0.01791966,0.2835599,-0.36545098,0.02845216,27
handsets,"(1.0, 2.0]",-0.014115091,0.28433344,-0.28809607,0.02845216,27
handsets,"(2.0, 3.0]",0.0747011,0.30274704,1.5532643,0.02845216,27
handsets,"(3.0, 24.0]",0.084820285,0.30488738,1.7672986,0.02845216,27
total_calls,"(-0.001, 2.7]",0.03800671,0.2950577,0.78433156,0.028330475,28
total_calls,"(12.0, 18.4]",0.009591727,0.28918204,0.19676387,0.028330475,28
total_calls,"(18.4, 27.0]",-0.015952634,0.28395966,-0.32547414,0.028330475,28
total_calls,"(2.7, 6.7]",0.021319788,0.29159877,0.43843687,0.028330475,28
total_calls,"(27.0, 38.7]",-0.028609838,0.28139317,-0.5821228,0.028330475,28
total_calls,"(38.7, 56.6]",-0.024432758,0.28223857,-0.49758255,0.028330475,28
total_calls,"(56.6, 89.3]",-0.016752673,0.283797,-0.34174025,0.028330475,28
