feature,feature_group,feature_effect,probability_contribution,Feature_Importance_Rank,SHAP_Value
currentequipmentdays,"(-5.001, 89.0]",decreases,8.768505096435547,1,-0.4802868962287903
currentequipmentdays,"(184.0, 229.0]",decreases,6.922891616821289,1,-0.3684932291507721
currentequipmentdays,"(229.0, 283.0]",decreases,6.8537516593933105,1,-0.3644418716430664
currentequipmentdays,"(283.0, 330.0]",increases,0.41286349296569824,1,0.020081594586372375
currentequipmentdays,"(330.0, 384.0]",increases,4.044914245605469,1,0.1901799738407135
currentequipmentdays,"(384.0, 464.0]",increases,3.2105116844177246,1,0.1520509421825409
currentequipmentdays,"(464.0, 577.0]",increases,4.31385612487793,1,0.20236265659332275
currentequipmentdays,"(577.0, 733.0]",increases,4.9034743309021,1,0.22889721393585205
currentequipmentdays,"(733.0, 1812.0]",increases,8.42786693572998,1,0.38313496112823486
currentequipmentdays,"(89.0, 184.0]",decreases,5.978765964508057,1,-0.31394699215888977
percchangeminutes,"(-114.0, -59.0]",increases,0.6791532039642334,2,0.032944876700639725
percchangeminutes,"(-229.0, -114.0]",increases,5.107489109039307,2,0.23802463710308075
percchangeminutes,"(-26.0, -5.0]",decreases,2.4557292461395264,2,-0.1232520192861557
percchangeminutes,"(-3875.001, -229.0]",increases,11.142799377441406,2,0.4978266656398773
percchangeminutes,"(-5.0, 10.0]",decreases,3.622502088546753,2,-0.18439072370529175
percchangeminutes,"(-59.0, -26.0]",decreases,1.499226689338684,2,-0.07442563027143478
percchangeminutes,"(10.0, 41.7]",decreases,3.9330363273620605,2,-0.20097772777080536
percchangeminutes,"(207.0, 5192.0]",decreases,0.8435308933258057,2,-0.041574180126190186
percchangeminutes,"(41.7, 95.0]",decreases,3.3441007137298584,2,-0.16963604092597961
percchangeminutes,"(95.0, 207.0]",decreases,2.5907814502716064,2,-0.13023684918880463
monthsinservice,"(10.0, 12.0]",increases,9.73505687713623,3,0.4387350380420685
monthsinservice,"(12.0, 14.0]",increases,3.671032190322876,3,0.1731584668159485
monthsinservice,"(14.0, 16.0]",increases,1.3266116380691528,3,0.06394097208976746
monthsinservice,"(16.0, 19.0]",decreases,0.2986103296279907,3,-0.01463188137859106
monthsinservice,"(19.0, 23.0]",decreases,1.1057496070861816,3,-0.05465376004576683
monthsinservice,"(23.0, 26.0]",decreases,1.542043685913086,3,-0.07658810913562775
monthsinservice,"(26.0, 33.0]",decreases,2.250638484954834,3,-0.1126885786652565
monthsinservice,"(33.0, 61.0]",decreases,4.185129642486572,3,-0.21454593539237976
monthsinservice,"(5.999, 8.0]",decreases,3.605175018310547,3,-0.1834694743156433
monthsinservice,"(8.0, 10.0]",decreases,2.7521519660949707,3,-0.1386137753725052
service_city,air,increases,0.9474575519561768,4,0.04583683982491493
service_city,apc,decreases,3.7304906845092773,4,-0.19014331698417664
service_city,ath,decreases,4.574756145477295,4,-0.23570282757282257
service_city,atl,decreases,1.1206060647964478,4,-0.05539712682366371
service_city,awi,decreases,6.485915184020996,4,-0.34304171800613403
service_city,bir,decreases,3.7114620208740234,4,-0.18912845849990845
service_city,bos,increases,1.0786056518554688,4,0.05211400240659714
service_city,chi,increases,0.7227122783660889,4,0.03504246845841408
service_city,dal,decreases,1.8358439207077026,4,-0.09148304909467697
service_city,den,increases,7.559699058532715,4,0.34576916694641113
service_city,det,decreases,1.9682735204696655,4,-0.09823042899370193
service_city,fln,increases,2.3677408695220947,4,0.11299832165241241
service_city,gcw,increases,6.343328952789307,4,0.29275843501091003
service_city,har,decreases,1.826620101928711,4,-0.09101397544145584
service_city,hop,increases,5.77085018157959,4,0.26751965284347534
service_city,hou,decreases,1.7795443534851074,4,-0.08862081915140152
service_city,hwi,increases,7.238754749298096,4,0.3318595588207245
service_city,ind,decreases,0.20388364791870117,4,-0.009980186820030212
service_city,inh,increases,8.437675476074219,4,0.3835548162460327
service_city,inu,increases,4.492554187774658,4,0.21042944490909576
service_city,ipm,increases,8.82529067993164,4,0.4001193344593048
service_city,kcy,decreases,4.299215793609619,4,-0.22071704268455505
service_city,lau,increases,1.3051927089691162,4,0.06292179971933365
service_city,lax,increases,0.8793383836746216,4,0.04257006570696831
service_city,lou,decreases,2.158081531524658,4,-0.1079384982585907
service_city,mia,increases,4.184100151062012,4,0.1964913308620453
service_city,mil,decreases,2.070185661315918,4,-0.10343743115663528
service_city,min,decreases,3.228449821472168,4,-0.16353800892829895
service_city,ncr,decreases,1.7940908670425415,4,-0.08935993164777756
service_city,nev,increases,1.5529841184616089,4,0.07468769699335098
service_city,nmc,increases,7.590383529663086,4,0.3470962345600128
service_city,nmx,increases,1.1870592832565308,4,0.05729281157255173
service_city,nny,decreases,0.3727436065673828,4,-0.01827864535152912
service_city,nol,decreases,0.21957755088806152,4,-0.010750247165560722
service_city,nor,decreases,1.8890172243118286,4,-0.09418971091508865
service_city,nsh,decreases,3.722172975540161,4,-0.18969964981079102
service_city,nvu,increases,7.676288604736328,4,0.3508087992668152
service_city,nyc,increases,0.1444011926651001,4,0.007042876444756985
service_city,ohh,decreases,1.556396484375,4,-0.07731340080499649
service_city,ohi,decreases,2.876162528991699,4,-0.1450742781162262
service_city,okc,decreases,0.7858753204345703,4,-0.03870844468474388
service_city,oma,increases,2.7149081230163574,4,0.12915410101413727
service_city,phi,increases,2.451390027999878,4,0.11689994484186172
service_city,phx,increases,2.4050803184509277,4,0.11474067717790604
service_city,pit,decreases,0.3032565116882324,4,-0.01486013364046812
service_city,san,decreases,0.8223474025726318,4,-0.0405208095908165
